LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.295, Time: 7.297101 s
         1405681 function calls (1391293 primitive calls) in 10.618 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       19    0.001    0.000    0.020    0.001 {built-in method builtins.eval}
       32    0.001    0.000    0.008    0.000 colors.py:399(to_rgba_array)
      185    0.001    0.000    0.001    0.000 sre_compile.py:492(_get_charset_prefix)
      448    0.001    0.000    0.001    0.000 colors.py:338(<genexpr>)
      339    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:725(find_spec)
      162    0.001    0.000    0.001    0.000 rcsetup.py:140(validate_bool)
  122/111    0.001    0.000    0.208    0.002 _docstring.py:79(__call__)
       51    0.001    0.000    0.001    0.000 shape_base.py:81(atleast_2d)
     78/4    0.001    0.000    0.007    0.002 core.py:909(_parseCache)
  274/255    0.001    0.000    0.002    0.000 results.py:159(__init__)
      342    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
       74    0.001    0.000    0.003    0.000 {built-in method builtins.sum}
      206    0.001    0.000    0.001    0.000 sre_parse.py:921(fix_flags)
  266/157    0.001    0.000    0.012    0.000 core.py:1857(name)
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       43    0.001    0.000    0.002    0.000 typing.py:219(_remove_dups_flatten)
    59/43    0.001    0.000    0.013    0.000 typing.py:347(__getitem__)
      160    0.001    0.000    0.010    0.000 <__array_function__ internals>:177(column_stack)
      215    0.001    0.000    0.006    0.000 sre_parse.py:96(closegroup)
        1    0.001    0.001    0.005    0.005 hmac.py:1(<module>)
        1    0.001    0.001    0.003    0.003 six.py:21(<module>)
       12    0.001    0.000    0.006    0.000 __init__.py:232(define_aliases)
       64    0.001    0.000    0.004    0.000 inspect.py:1812(_signature_bound_method)
       64    0.001    0.000    0.003    0.000 core.py:4349(__init__)
      314    0.001    0.000    0.001    0.000 {method 'replace' of 'code' objects}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       32    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
   114/57    0.001    0.000    0.017    0.000 core.py:3722(copy)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      230    0.001    0.000    0.001    0.000 typing.py:324(__eq__)
      278    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      211    0.001    0.000    0.001    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
  215/110    0.001    0.000    0.011    0.000 core.py:1832(default_name)
      348    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      171    0.001    0.000    0.012    0.000 inspect.py:2865(replace)
        1    0.001    0.001    2.516    2.516 pyplot.py:4(<module>)
      144    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      142    0.001    0.000    0.001    0.000 sre_parse.py:861(_parse_flags)
      425    0.001    0.000    0.001    0.000 typing.py:669(<genexpr>)
      453    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
        1    0.001    0.001    7.367    7.367 LebwohlLasher.py:257(main)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
      342    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      400    0.001    0.000    0.001    0.000 sre_compile.py:453(_get_iscased)
       47    0.001    0.000    0.055    0.001 __init__.py:1328(_add_data_doc)
    63/11    0.001    0.000    0.018    0.002 core.py:3861(parseImpl)
      441    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
   114/57    0.001    0.000    0.014    0.000 core.py:3724(<listcomp>)
      160    0.001    0.000    0.001    0.000 enum.py:22(_is_dunder)
      248    0.001    0.000    0.001    0.000 patches.py:2244(<genexpr>)
      242    0.001    0.000    0.001    0.000 core.py:3614(<genexpr>)
       51    0.001    0.000    0.002    0.000 numeric.py:77(zeros_like)
       82    0.001    0.000    0.004    0.000 __init__.py:253(make_alias)
      222    0.001    0.000    0.001    0.000 patches.py:2237(<genexpr>)
        2    0.001    0.000    0.175    0.088 core.py:1(<module>)
      222    0.001    0.000    0.001    0.000 transforms.py:1338(<genexpr>)
      131    0.001    0.000    0.002    0.000 core.py:1915(__eq__)
      222    0.001    0.000    0.001    0.000 transforms.py:1332(<genexpr>)
       12    0.001    0.000    0.001    0.000 datetime.py:488(__new__)
      206    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
