LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.355, Time: 3.350817 s
         932968 function calls (918580 primitive calls) in 5.861 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6267    0.009    0.000    0.009    0.000 {method 'format' of 'str' objects}
     6781    0.008    0.000    0.009    0.000 enum.py:631(__new__)
      349    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.009    0.009 _internal.py:1(<module>)
        1    0.000    0.000    0.009    0.009 subprocess.py:10(<module>)
 1435/169    0.003    0.000    0.009    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ticker.py:1(<module>)
     1314    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  215/110    0.001    0.000    0.008    0.000 core.py:1832(default_name)
        1    0.000    0.000    0.008    0.008 _version.py:7(<module>)
     5978    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
 1435/169    0.005    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
      732    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1038    0.003    0.000    0.008    0.000 typing.py:762(__setattr__)
        1    0.000    0.000    0.008    0.008 extras.py:1(<module>)
      383    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     6991    0.008    0.000    0.008    0.000 inspect.py:2551(kind)
      597    0.002    0.000    0.008    0.000 sre_compile.py:423(_simple)
     6778    0.008    0.000    0.008    0.000 {method 'isidentifier' of 'str' objects}
      169    0.002    0.000    0.008    0.000 colors.py:307(_to_rgba_no_colorcycle)
       20    0.000    0.000    0.008    0.000 core.py:4779(parseImpl)
        1    0.000    0.000    0.007    0.007 secrets.py:1(<module>)
       39    0.003    0.000    0.007    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.007    0.007 widgets.py:1(<module>)
        2    0.000    0.000    0.007    0.004 core.py:5684(srange)
       48    0.000    0.000    0.007    0.000 typing.py:802(__getitem__)
     25/6    0.001    0.000    0.007    0.001 core.py:3816(streamline)
       62    0.000    0.000    0.007    0.000 core.py:1352(__add__)
      160    0.001    0.000    0.007    0.000 <__array_function__ internals>:177(column_stack)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
       51    0.000    0.000    0.007    0.000 <__array_function__ internals>:177(eig)
        3    0.000    0.000    0.007    0.002 _common.py:1(<module>)
      556    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     35/5    0.000    0.000    0.007    0.001 core.py:3675(streamline)
        1    0.000    0.000    0.007    0.007 core.py:5798(<listcomp>)
     5467    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
     5734    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
       51    0.002    0.000    0.007    0.000 linalg.py:1168(eig)
        1    0.000    0.000    0.006    0.006 typing.py:1(<module>)
     5312    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
       63    0.001    0.000    0.006    0.000 core.py:3783(__init__)
      169    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
       44    0.000    0.000    0.006    0.000 _base.py:52(__init__)
        1    0.000    0.000    0.006    0.006 transforms.py:1(<module>)
        1    0.000    0.000    0.006    0.006 defchararray.py:1(<module>)
     4223    0.006    0.000    0.006    0.000 {built-in method builtins.sorted}
       37    0.000    0.000    0.006    0.000 typing.py:818(__getitem_inner__)
     5138    0.006    0.000    0.006    0.000 {built-in method builtins.ord}
     4400    0.006    0.000    0.006    0.000 {built-in method builtins.setattr}
      307    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.006    0.006 _base.py:547(_AxesBase)
      629    0.002    0.000    0.006    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.006    0.006 helpers.py:648(make_html_tags)
        1    0.000    0.000    0.006    0.006 helpers.py:590(_makeTags)
     27/7    0.000    0.000    0.006    0.001 core.py:4409(streamline)
      409    0.003    0.000    0.006    0.000 copy.py:258(_reconstruct)
     1681    0.004    0.000    0.006    0.000 inspect.py:158(isfunction)
       10    0.000    0.000    0.006    0.001 core.py:2791(_generateDefaultName)
        1    0.000    0.000    0.006    0.006 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
       32    0.001    0.000    0.006    0.000 colors.py:399(to_rgba_array)
        1    0.000    0.000    0.006    0.006 linecache.py:1(<module>)
       15    0.000    0.000    0.006    0.000 core.py:2792(charsAsStr)
     1550    0.004    0.000    0.006    0.000 sre_parse.py:286(tell)
       44    0.000    0.000    0.006    0.000 _base.py:67(__set_name__)
     78/4    0.001    0.000    0.006    0.001 core.py:909(_parseCache)
    33/15    0.000    0.000    0.006    0.000 core.py:4373(parseImpl)
     4531    0.006    0.000    0.006    0.000 artist.py:1567(<genexpr>)
        1    0.000    0.000    0.005    0.005 Image.py:27(<module>)
        1    0.003    0.003    0.005    0.005 helpers.py:692(<dictcomp>)
        1    0.000    0.000    0.005    0.005 signal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 core.py:400(ParserElement)
        1    0.000    0.000    0.005    0.005 __init__.py:208(_check_versions)
       50    0.001    0.000    0.005    0.000 deprecation.py:457(<listcomp>)
     1325    0.005    0.000    0.005    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.005    0.001 extras.py:234(__init__)
       10    0.000    0.000    0.005    0.001 extras.py:238(getdoc)
     10/3    0.000    0.000    0.005    0.002 unicode.py:14(__get__)
      834    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        2    0.000    0.000    0.005    0.003 abc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pickle.py:1(<module>)
        1    0.000    0.000    0.005    0.005 figure.py:181(FigureBase)
     1038    0.003    0.000    0.005    0.000 typing.py:646(_is_dunder)
        3    0.000    0.000    0.005    0.002 enum.py:483(_convert_)
        1    0.000    0.000    0.005    0.005 mathtext.py:1(<module>)
        5    0.000    0.000    0.005    0.001 enum.py:430(_create_)
      160    0.002    0.000    0.005    0.000 shape_base.py:612(column_stack)
1855/1689    0.003    0.000    0.005    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
       53    0.000    0.000    0.005    0.000 typing.py:689(copy_with)
      460    0.002    0.000    0.005    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.005    0.005 tokenize.py:1(<module>)
      614    0.003    0.000    0.005    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.005    0.005 platform.py:885(system)
        1    0.000    0.000    0.005    0.005 platform.py:747(uname)
    24/12    0.000    0.000    0.005    0.000 core.py:4108(parseImpl)
     2433    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x909780}
        1    0.000    0.000    0.005    0.005 platform.py:604(_syscmd_uname)
      249    0.002    0.000    0.005    0.000 typing.py:120(_type_check)
        1    0.000    0.000    0.005    0.005 subprocess.py:368(check_output)
        1    0.000    0.000    0.005    0.005 subprocess.py:452(run)
      215    0.001    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      411    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
      392    0.002    0.000    0.005    0.000 re.py:203(sub)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.005    0.005 decoder.py:1(<module>)
      278    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
       79    0.001    0.000    0.005    0.000 core.py:3601(__init__)
     2239    0.004    0.000    0.005    0.000 sre_parse.py:249(match)
       63    0.001    0.000    0.005    0.000 inspect.py:3057(__str__)
      641    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        2    0.000    0.000    0.004    0.002 unicode.py:55(_chars_for_ranges)
       12    0.001    0.000    0.004    0.000 __init__.py:232(define_aliases)
       20    0.000    0.000    0.004    0.000 core.py:4956(parseImpl)
        1    0.000    0.000    0.004    0.004 _compat.py:3(<module>)
     3215    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.004    0.004 unicode.py:80(alphanums)
      307    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      344    0.002    0.000    0.004    0.000 inspect.py:534(_findclass)
        2    0.002    0.001    0.004    0.002 unicode.py:63(<listcomp>)
       18    0.000    0.000    0.004    0.000 core.py:4889(parseImpl)
        1    0.000    0.000    0.004    0.004 unicode.py:70(alphas)
        5    0.000    0.000    0.004    0.001 __init__.py:109(import_module)
        5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
       17    0.002    0.000    0.004    0.000 enum.py:200(<setcomp>)
      317    0.001    0.000    0.004    0.000 function_base.py:469(_add_docstring)
      444    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 string.py:1(<module>)
      132    0.001    0.000    0.004    0.000 ast.py:383(visit_Constant)
      161    0.001    0.000    0.004    0.000 enum.py:75(__setitem__)
        1    0.000    0.000    0.004    0.004 subprocess.py:736(__init__)
      275    0.001    0.000    0.004    0.000 inspect.py:2555(replace)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
        1    0.000    0.000    0.004    0.004 subprocess.py:1552(_execute_child)
        1    0.000    0.000    0.004    0.004 string.py:67(__init__)
       37    0.000    0.000    0.004    0.000 core.py:2984(parseImpl)
        1    0.001    0.001    0.004    0.004 hmac.py:1(<module>)
      982    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:867(__exit__)
      982    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:863(__enter__)
      206    0.001    0.000    0.004    0.000 enum.py:938(__and__)
      278    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       19    0.000    0.000    0.003    0.000 deprecation.py:316(delete_parameter)
      732    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      732    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ntpath.py:2(<module>)
       38    0.000    0.000    0.003    0.000 typing.py:1435(_alias)
      278    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      278    0.003    0.000    0.003    0.000 {built-in method io.open_code}
       51    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(vstack)
     12/5    0.000    0.000    0.003    0.001 core.py:4092(streamline)
       82    0.000    0.000    0.003    0.000 __init__.py:253(make_alias)
        1    0.000    0.000    0.003    0.003 _tricontour.py:1(<module>)
      350    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:793(copy)
       63    0.000    0.000    0.003    0.000 colors.py:1080(reversed)
      465    0.001    0.000    0.003    0.000 __init__.py:729(__getitem__)
      775    0.002    0.000    0.003    0.000 inspect.py:513(_is_wrapper)
      215    0.001    0.000    0.003    0.000 sre_parse.py:84(opengroup)
      842    0.002    0.000    0.003    0.000 sre_parse.py:81(groups)
      778    0.002    0.000    0.003    0.000 __init__.py:678(_get)
